Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,123,Liberia,7271,Temperature change,7001,January,2019,2019,?C,1.444,Fc,Calculated data
ET,Temperature change,123,Liberia,7271,Temperature change,7001,January,2020,2020,?C,1.266,Fc,Calculated data
ET,Temperature change,124,Libya,7271,Temperature change,7001,January,2019,2019,?C,-0.742,Fc,Calculated data
ET,Temperature change,124,Libya,7271,Temperature change,7001,January,2020,2020,?C,-0.335,Fc,Calculated data
ET,Temperature change,125,Liechtenstein,7271,Temperature change,7001,January,2019,2019,?C,0.159,Fc,Calculated data
ET,Temperature change,125,Liechtenstein,7271,Temperature change,7001,January,2020,2020,?C,3.867,Fc,Calculated data
ET,Temperature change,126,Lithuania,7271,Temperature change,7001,January,2019,2019,?C,1.844,Fc,Calculated data
ET,Temperature change,126,Lithuania,7271,Temperature change,7001,January,2020,2020,?C,8.158,Fc,Calculated data
ET,Temperature change,256,Luxembourg,7271,Temperature change,7001,January,2019,2019,?C,0.73,Fc,Calculated data
ET,Temperature change,256,Luxembourg,7271,Temperature change,7001,January,2020,2020,?C,3.745,Fc,Calculated data
ET,Temperature change,129,Madagascar,7271,Temperature change,7001,January,2019,2019,?C,0.866,Fc,Calculated data
ET,Temperature change,129,Madagascar,7271,Temperature change,7001,January,2020,2020,?C,1.378,Fc,Calculated data
ET,Temperature change,130,Malawi,7271,Temperature change,7001,January,2019,2019,?C,1.169,Fc,Calculated data
ET,Temperature change,130,Malawi,7271,Temperature change,7001,January,2020,2020,?C,1.361,Fc,Calculated data
ET,Temperature change,131,Malaysia,7271,Temperature change,7001,January,2019,2019,?C,1.737,Fc,Calculated data
ET,Temperature change,131,Malaysia,7271,Temperature change,7001,January,2020,2020,?C,1.571,Fc,Calculated data
ET,Temperature change,132,Maldives,7271,Temperature change,7001,January,2019,2019,?C,0.557,Fc,Calculated data
ET,Temperature change,132,Maldives,7271,Temperature change,7001,January,2020,2020,?C,1.186,Fc,Calculated data
ET,Temperature change,133,Mali,7271,Temperature change,7001,January,2019,2019,?C,0.136,Fc,Calculated data
ET,Temperature change,133,Mali,7271,Temperature change,7001,January,2020,2020,?C,0.44,Fc,Calculated data
ET,Temperature change,134,Malta,7271,Temperature change,7001,January,2019,2019,?C,-1.04,Fc,Calculated data
ET,Temperature change,134,Malta,7271,Temperature change,7001,January,2020,2020,?C,0.686,Fc,Calculated data
ET,Temperature change,127,Marshall Islands,7271,Temperature change,7001,January,2019,2019,?C,0.769,Fc,Calculated data
ET,Temperature change,127,Marshall Islands,7271,Temperature change,7001,January,2020,2020,?C,1.125,Fc,Calculated data
ET,Temperature change,135,Martinique,7271,Temperature change,7001,January,2019,2019,?C,0.073,Fc,Calculated data
ET,Temperature change,135,Martinique,7271,Temperature change,7001,January,2020,2020,?C,0.68,Fc,Calculated data
ET,Temperature change,136,Mauritania,7271,Temperature change,7001,January,2019,2019,?C,0.118,Fc,Calculated data
ET,Temperature change,136,Mauritania,7271,Temperature change,7001,January,2020,2020,?C,0.857,Fc,Calculated data
ET,Temperature change,137,Mauritius,7271,Temperature change,7001,January,2019,2019,?C,1.603,Fc,Calculated data
ET,Temperature change,137,Mauritius,7271,Temperature change,7001,January,2020,2020,?C,1.825,Fc,Calculated data
ET,Temperature change,270,Mayotte,7271,Temperature change,7001,January,2019,2019,?C,1.184,Fc,Calculated data
ET,Temperature change,270,Mayotte,7271,Temperature change,7001,January,2020,2020,?C,1.105,Fc,Calculated data
ET,Temperature change,138,Mexico,7271,Temperature change,7001,January,2019,2019,?C,1.021,Fc,Calculated data
ET,Temperature change,138,Mexico,7271,Temperature change,7001,January,2020,2020,?C,1.617,Fc,Calculated data
ET,Temperature change,145,Micronesia (Federated States of),7271,Temperature change,7001,January,2019,2019,?C,0.492,Fc,Calculated data
ET,Temperature change,145,Micronesia (Federated States of),7271,Temperature change,7001,January,2020,2020,?C,0.55,Fc,Calculated data
ET,Temperature change,139,Midway Island,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,139,Midway Island,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,140,Monaco,7271,Temperature change,7001,January,2019,2019,?C,0.472,Fc,Calculated data
ET,Temperature change,140,Monaco,7271,Temperature change,7001,January,2020,2020,?C,2.812,Fc,Calculated data
ET,Temperature change,141,Mongolia,7271,Temperature change,7001,January,2019,2019,?C,2.991,Fc,Calculated data
ET,Temperature change,141,Mongolia,7271,Temperature change,7001,January,2020,2020,?C,3.244,Fc,Calculated data
ET,Temperature change,273,Montenegro,7271,Temperature change,7001,January,2019,2019,?C,-0.632,Fc,Calculated data
ET,Temperature change,273,Montenegro,7271,Temperature change,7001,January,2020,2020,?C,1.78,Fc,Calculated data
ET,Temperature change,142,Montserrat,7271,Temperature change,7001,January,2019,2019,?C,0.384,Fc,Calculated data
ET,Temperature change,142,Montserrat,7271,Temperature change,7001,January,2020,2020,?C,1.188,Fc,Calculated data
ET,Temperature change,143,Morocco,7271,Temperature change,7001,January,2019,2019,?C,0.35,Fc,Calculated data
ET,Temperature change,143,Morocco,7271,Temperature change,7001,January,2020,2020,?C,-0.163,Fc,Calculated data
ET,Temperature change,144,Mozambique,7271,Temperature change,7001,January,2019,2019,?C,0.949,Fc,Calculated data
ET,Temperature change,144,Mozambique,7271,Temperature change,7001,January,2020,2020,?C,0.983,Fc,Calculated data
ET,Temperature change,28,Myanmar,7271,Temperature change,7001,January,2019,2019,?C,1.843,Fc,Calculated data
ET,Temperature change,28,Myanmar,7271,Temperature change,7001,January,2020,2020,?C,2.333,Fc,Calculated data
ET,Temperature change,147,Namibia,7271,Temperature change,7001,January,2019,2019,?C,1.147,Fc,Calculated data
ET,Temperature change,147,Namibia,7271,Temperature change,7001,January,2020,2020,?C,0.484,Fc,Calculated data
ET,Temperature change,148,Nauru,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,148,Nauru,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,149,Nepal,7271,Temperature change,7001,January,2019,2019,?C,0.481,Fc,Calculated data
ET,Temperature change,149,Nepal,7271,Temperature change,7001,January,2020,2020,?C,-0.468,Fc,Calculated data
ET,Temperature change,150,Netherlands,7271,Temperature change,7001,January,2019,2019,?C,1.321,Fc,Calculated data
ET,Temperature change,150,Netherlands,7271,Temperature change,7001,January,2020,2020,?C,4.095,Fc,Calculated data
ET,Temperature change,151,Netherlands Antilles (former),7271,Temperature change,7001,January,2019,2019,?C,0.741,Fc,Calculated data
ET,Temperature change,151,Netherlands Antilles (former),7271,Temperature change,7001,January,2020,2020,?C,1.089,Fc,Calculated data
ET,Temperature change,153,New Caledonia,7271,Temperature change,7001,January,2019,2019,?C,0.152,Fc,Calculated data
ET,Temperature change,153,New Caledonia,7271,Temperature change,7001,January,2020,2020,?C,0.759,Fc,Calculated data
ET,Temperature change,156,New Zealand,7271,Temperature change,7001,January,2019,2019,?C,2.229,Fc,Calculated data
ET,Temperature change,156,New Zealand,7271,Temperature change,7001,January,2020,2020,?C,0.859,Fc,Calculated data
ET,Temperature change,157,Nicaragua,7271,Temperature change,7001,January,2019,2019,?C,1.086,Fc,Calculated data
ET,Temperature change,157,Nicaragua,7271,Temperature change,7001,January,2020,2020,?C,1.653,Fc,Calculated data
ET,Temperature change,158,Niger,7271,Temperature change,7001,January,2019,2019,?C,-0.286,Fc,Calculated data
ET,Temperature change,158,Niger,7271,Temperature change,7001,January,2020,2020,?C,-0.168,Fc,Calculated data
ET,Temperature change,159,Nigeria,7271,Temperature change,7001,January,2019,2019,?C,1.194,Fc,Calculated data
ET,Temperature change,159,Nigeria,7271,Temperature change,7001,January,2020,2020,?C,0.434,Fc,Calculated data
ET,Temperature change,160,Niue,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,160,Niue,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,161,Norfolk Island,7271,Temperature change,7001,January,2019,2019,?C,1.37,Fc,Calculated data
ET,Temperature change,161,Norfolk Island,7271,Temperature change,7001,January,2020,2020,?C,0.77,Fc,Calculated data
ET,Temperature change,154,North Macedonia,7271,Temperature change,7001,January,2019,2019,?C,-0.635,Fc,Calculated data
ET,Temperature change,154,North Macedonia,7271,Temperature change,7001,January,2020,2020,?C,1.322,Fc,Calculated data
ET,Temperature change,162,Norway,7271,Temperature change,7001,January,2019,2019,?C,1.126,Fc,Calculated data
ET,Temperature change,162,Norway,7271,Temperature change,7001,January,2020,2020,?C,5.687,Fc,Calculated data
ET,Temperature change,221,Oman,7271,Temperature change,7001,January,2019,2019,?C,1.91,Fc,Calculated data
ET,Temperature change,221,Oman,7271,Temperature change,7001,January,2020,2020,?C,-0.35,Fc,Calculated data
ET,Temperature change,165,Pakistan,7271,Temperature change,7001,January,2019,2019,?C,1.314,Fc,Calculated data
ET,Temperature change,165,Pakistan,7271,Temperature change,7001,January,2020,2020,?C,-0.847,Fc,Calculated data
ET,Temperature change,180,Palau,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,180,Palau,7271,Temperature change,7001,January,2020,2020,?C,0.582,Fc,Calculated data
ET,Temperature change,299,Palestine,7271,Temperature change,7001,January,2019,2019,?C,-0.16,Fc,Calculated data
ET,Temperature change,299,Palestine,7271,Temperature change,7001,January,2020,2020,?C,-0.229,Fc,Calculated data
ET,Temperature change,166,Panama,7271,Temperature change,7001,January,2019,2019,?C,1.121,Fc,Calculated data
ET,Temperature change,166,Panama,7271,Temperature change,7001,January,2020,2020,?C,1.872,Fc,Calculated data
ET,Temperature change,168,Papua New Guinea,7271,Temperature change,7001,January,2019,2019,?C,0.556,Fc,Calculated data
ET,Temperature change,168,Papua New Guinea,7271,Temperature change,7001,January,2020,2020,?C,1.23,Fc,Calculated data
ET,Temperature change,169,Paraguay,7271,Temperature change,7001,January,2019,2019,?C,1.905,Fc,Calculated data
ET,Temperature change,169,Paraguay,7271,Temperature change,7001,January,2020,2020,?C,1.245,Fc,Calculated data
ET,Temperature change,170,Peru,7271,Temperature change,7001,January,2019,2019,?C,0.804,Fc,Calculated data
ET,Temperature change,170,Peru,7271,Temperature change,7001,January,2020,2020,?C,1.193,Fc,Calculated data
ET,Temperature change,171,Philippines,7271,Temperature change,7001,January,2019,2019,?C,1.247,Fc,Calculated data
ET,Temperature change,171,Philippines,7271,Temperature change,7001,January,2020,2020,?C,1.672,Fc,Calculated data
ET,Temperature change,172,Pitcairn,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,172,Pitcairn,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,173,Poland,7271,Temperature change,7001,January,2019,2019,?C,1.819,Fc,Calculated data
ET,Temperature change,173,Poland,7271,Temperature change,7001,January,2020,2020,?C,5.694,Fc,Calculated data
ET,Temperature change,174,Portugal,7271,Temperature change,7001,January,2019,2019,?C,0.17,Fc,Calculated data
ET,Temperature change,174,Portugal,7271,Temperature change,7001,January,2020,2020,?C,1.036,Fc,Calculated data
ET,Temperature change,177,Puerto Rico,7271,Temperature change,7001,January,2019,2019,?C,0.496,Fc,Calculated data
ET,Temperature change,177,Puerto Rico,7271,Temperature change,7001,January,2020,2020,?C,1.385,Fc,Calculated data
ET,Temperature change,179,Qatar,7271,Temperature change,7001,January,2019,2019,?C,2.818,Fc,Calculated data
ET,Temperature change,179,Qatar,7271,Temperature change,7001,January,2020,2020,?C,1.002,Fc,Calculated data
ET,Temperature change,117,Republic of Korea,7271,Temperature change,7001,January,2019,2019,?C,2.124,Fc,Calculated data
ET,Temperature change,117,Republic of Korea,7271,Temperature change,7001,January,2020,2020,?C,4.256,Fc,Calculated data
ET,Temperature change,146,Republic of Moldova,7271,Temperature change,7001,January,2019,2019,?C,1.086,Fc,Calculated data
ET,Temperature change,146,Republic of Moldova,7271,Temperature change,7001,January,2020,2020,?C,4.547,Fc,Calculated data
ET,Temperature change,182,R?union,7271,Temperature change,7001,January,2019,2019,?C,2.059,Fc,Calculated data
ET,Temperature change,182,R?union,7271,Temperature change,7001,January,2020,2020,?C,0.724,Fc,Calculated data
ET,Temperature change,183,Romania,7271,Temperature change,7001,January,2019,2019,?C,1.288,Fc,Calculated data
ET,Temperature change,183,Romania,7271,Temperature change,7001,January,2020,2020,?C,2.985,Fc,Calculated data
ET,Temperature change,185,Russian Federation,7271,Temperature change,7001,January,2019,2019,?C,2.964,Fc,Calculated data
ET,Temperature change,185,Russian Federation,7271,Temperature change,7001,January,2020,2020,?C,6.067,Fc,Calculated data
ET,Temperature change,184,Rwanda,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,184,Rwanda,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,187,"Saint Helena, Ascension and Tristan da Cunha",7271,Temperature change,7001,January,2019,2019,?C,1.672,Fc,Calculated data
ET,Temperature change,187,"Saint Helena, Ascension and Tristan da Cunha",7271,Temperature change,7001,January,2020,2020,?C,1.807,Fc,Calculated data
ET,Temperature change,188,Saint Kitts and Nevis,7271,Temperature change,7001,January,2019,2019,?C,0.384,Fc,Calculated data
ET,Temperature change,188,Saint Kitts and Nevis,7271,Temperature change,7001,January,2020,2020,?C,1.188,Fc,Calculated data
ET,Temperature change,189,Saint Lucia,7271,Temperature change,7001,January,2019,2019,?C,0.149,Fc,Calculated data
ET,Temperature change,189,Saint Lucia,7271,Temperature change,7001,January,2020,2020,?C,0.57,Fc,Calculated data
ET,Temperature change,190,Saint Pierre and Miquelon,7271,Temperature change,7001,January,2019,2019,?C,0.051,Fc,Calculated data
ET,Temperature change,190,Saint Pierre and Miquelon,7271,Temperature change,7001,January,2020,2020,?C,-1.287,Fc,Calculated data
ET,Temperature change,191,Saint Vincent and the Grenadines,7271,Temperature change,7001,January,2019,2019,?C,-0.002,Fc,Calculated data
ET,Temperature change,191,Saint Vincent and the Grenadines,7271,Temperature change,7001,January,2020,2020,?C,0.521,Fc,Calculated data
ET,Temperature change,244,Samoa,7271,Temperature change,7001,January,2019,2019,?C,1.22,Fc,Calculated data
ET,Temperature change,244,Samoa,7271,Temperature change,7001,January,2020,2020,?C,0.92,Fc,Calculated data
ET,Temperature change,192,San Marino,7271,Temperature change,7001,January,2019,2019,?C,-0.302,Fc,Calculated data
ET,Temperature change,192,San Marino,7271,Temperature change,7001,January,2020,2020,?C,2.27,Fc,Calculated data
ET,Temperature change,193,Sao Tome and Principe,7271,Temperature change,7001,January,2019,2019,?C,0.783,Fc,Calculated data
ET,Temperature change,193,Sao Tome and Principe,7271,Temperature change,7001,January,2020,2020,?C,2.016,Fc,Calculated data
ET,Temperature change,194,Saudi Arabia,7271,Temperature change,7001,January,2019,2019,?C,2.757,Fc,Calculated data
ET,Temperature change,194,Saudi Arabia,7271,Temperature change,7001,January,2020,2020,?C,0.103,Fc,Calculated data
ET,Temperature change,195,Senegal,7271,Temperature change,7001,January,2019,2019,?C,1.289,Fc,Calculated data
ET,Temperature change,195,Senegal,7271,Temperature change,7001,January,2020,2020,?C,1.349,Fc,Calculated data
ET,Temperature change,272,Serbia,7271,Temperature change,7001,January,2019,2019,?C,0.374,Fc,Calculated data
ET,Temperature change,272,Serbia,7271,Temperature change,7001,January,2020,2020,?C,2.041,Fc,Calculated data
ET,Temperature change,196,Seychelles,7271,Temperature change,7001,January,2019,2019,?C,1.392,Fc,Calculated data
ET,Temperature change,196,Seychelles,7271,Temperature change,7001,January,2020,2020,?C,1.496,Fc,Calculated data
ET,Temperature change,197,Sierra Leone,7271,Temperature change,7001,January,2019,2019,?C,1.598,Fc,Calculated data
ET,Temperature change,197,Sierra Leone,7271,Temperature change,7001,January,2020,2020,?C,1.626,Fc,Calculated data
ET,Temperature change,200,Singapore,7271,Temperature change,7001,January,2019,2019,?C,2.531,Fc,Calculated data
ET,Temperature change,200,Singapore,7271,Temperature change,7001,January,2020,2020,?C,2.043,Fc,Calculated data
ET,Temperature change,199,Slovakia,7271,Temperature change,7001,January,2019,2019,?C,1.091,Fc,Calculated data
ET,Temperature change,199,Slovakia,7271,Temperature change,7001,January,2020,2020,?C,2.63,Fc,Calculated data
ET,Temperature change,198,Slovenia,7271,Temperature change,7001,January,2019,2019,?C,1.194,Fc,Calculated data
ET,Temperature change,198,Slovenia,7271,Temperature change,7001,January,2020,2020,?C,3.218,Fc,Calculated data
ET,Temperature change,25,Solomon Islands,7271,Temperature change,7001,January,2019,2019,?C,0.72,Fc,Calculated data
ET,Temperature change,25,Solomon Islands,7271,Temperature change,7001,January,2020,2020,?C,0.879,Fc,Calculated data
ET,Temperature change,201,Somalia,7271,Temperature change,7001,January,2019,2019,?C,0.789,Fc,Calculated data
ET,Temperature change,201,Somalia,7271,Temperature change,7001,January,2020,2020,?C,1.796,Fc,Calculated data
ET,Temperature change,202,South Africa,7271,Temperature change,7001,January,2019,2019,?C,1.07,Fc,Calculated data
ET,Temperature change,202,South Africa,7271,Temperature change,7001,January,2020,2020,?C,1.009,Fc,Calculated data
ET,Temperature change,271,South Georgia and the South Sandwich Islands,7271,Temperature change,7001,January,2019,2019,?C,1.527,Fc,Calculated data
ET,Temperature change,271,South Georgia and the South Sandwich Islands,7271,Temperature change,7001,January,2020,2020,?C,1.027,Fc,Calculated data
ET,Temperature change,277,South Sudan,7271,Temperature change,7001,January,2019,2019,?C,2.328,Fc,Calculated data
ET,Temperature change,277,South Sudan,7271,Temperature change,7001,January,2020,2020,?C,-0.951,Fc,Calculated data
ET,Temperature change,203,Spain,7271,Temperature change,7001,January,2019,2019,?C,0.32,Fc,Calculated data
ET,Temperature change,203,Spain,7271,Temperature change,7001,January,2020,2020,?C,1.057,Fc,Calculated data
ET,Temperature change,38,Sri Lanka,7271,Temperature change,7001,January,2019,2019,?C,0.942,Fc,Calculated data
ET,Temperature change,38,Sri Lanka,7271,Temperature change,7001,January,2020,2020,?C,1.953,Fc,Calculated data
ET,Temperature change,276,Sudan,7271,Temperature change,7001,January,2019,2019,?C,2.065,Fc,Calculated data
ET,Temperature change,276,Sudan,7271,Temperature change,7001,January,2020,2020,?C,-1.361,Fc,Calculated data
ET,Temperature change,207,Suriname,7271,Temperature change,7001,January,2019,2019,?C,1.628,Fc,Calculated data
ET,Temperature change,207,Suriname,7271,Temperature change,7001,January,2020,2020,?C,1.988,Fc,Calculated data
ET,Temperature change,260,Svalbard and Jan Mayen Islands,7271,Temperature change,7001,January,2019,2019,?C,4.693,Fc,Calculated data
ET,Temperature change,260,Svalbard and Jan Mayen Islands,7271,Temperature change,7001,January,2020,2020,?C,1.433,Fc,Calculated data
ET,Temperature change,210,Sweden,7271,Temperature change,7001,January,2019,2019,?C,0.976,Fc,Calculated data
ET,Temperature change,210,Sweden,7271,Temperature change,7001,January,2020,2020,?C,7.439,Fc,Calculated data
ET,Temperature change,211,Switzerland,7271,Temperature change,7001,January,2019,2019,?C,0.336,Fc,Calculated data
ET,Temperature change,211,Switzerland,7271,Temperature change,7001,January,2020,2020,?C,3.479,Fc,Calculated data
ET,Temperature change,212,Syrian Arab Republic,7271,Temperature change,7001,January,2019,2019,?C,1.046,Fc,Calculated data
ET,Temperature change,212,Syrian Arab Republic,7271,Temperature change,7001,January,2020,2020,?C,0.952,Fc,Calculated data
ET,Temperature change,208,Tajikistan,7271,Temperature change,7001,January,2019,2019,?C,2.268,Fc,Calculated data
ET,Temperature change,208,Tajikistan,7271,Temperature change,7001,January,2020,2020,?C,0.8,Fc,Calculated data
ET,Temperature change,216,Thailand,7271,Temperature change,7001,January,2019,2019,?C,2.194,Fc,Calculated data
ET,Temperature change,216,Thailand,7271,Temperature change,7001,January,2020,2020,?C,2.834,Fc,Calculated data
ET,Temperature change,176,Timor-Leste,7271,Temperature change,7001,January,2019,2019,?C,1.068,Fc,Calculated data
ET,Temperature change,176,Timor-Leste,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,217,Togo,7271,Temperature change,7001,January,2019,2019,?C,1.59,Fc,Calculated data
ET,Temperature change,217,Togo,7271,Temperature change,7001,January,2020,2020,?C,0.962,Fc,Calculated data
ET,Temperature change,218,Tokelau,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,218,Tokelau,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,219,Tonga,7271,Temperature change,7001,January,2019,2019,?C,1.461,Fc,Calculated data
ET,Temperature change,219,Tonga,7271,Temperature change,7001,January,2020,2020,?C,0.806,Fc,Calculated data
ET,Temperature change,220,Trinidad and Tobago,7271,Temperature change,7001,January,2019,2019,?C,0.594,Fc,Calculated data
ET,Temperature change,220,Trinidad and Tobago,7271,Temperature change,7001,January,2020,2020,?C,0.933,Fc,Calculated data
ET,Temperature change,222,Tunisia,7271,Temperature change,7001,January,2019,2019,?C,-0.543,Fc,Calculated data
ET,Temperature change,222,Tunisia,7271,Temperature change,7001,January,2020,2020,?C,1.616,Fc,Calculated data
ET,Temperature change,223,Turkey,7271,Temperature change,7001,January,2019,2019,?C,1.383,Fc,Calculated data
ET,Temperature change,223,Turkey,7271,Temperature change,7001,January,2020,2020,?C,1.012,Fc,Calculated data
ET,Temperature change,213,Turkmenistan,7271,Temperature change,7001,January,2019,2019,?C,5.223,Fc,Calculated data
ET,Temperature change,213,Turkmenistan,7271,Temperature change,7001,January,2020,2020,?C,2.814,Fc,Calculated data
ET,Temperature change,224,Turks and Caicos Islands,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,224,Turks and Caicos Islands,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,227,Tuvalu,7271,Temperature change,7001,January,2019,2019,?C,1.096,Fc,Calculated data
ET,Temperature change,227,Tuvalu,7271,Temperature change,7001,January,2020,2020,?C,0.806,Fc,Calculated data
ET,Temperature change,226,Uganda,7271,Temperature change,7001,January,2019,2019,?C,1.074,Fc,Calculated data
ET,Temperature change,226,Uganda,7271,Temperature change,7001,January,2020,2020,?C,1.003,Fc,Calculated data
ET,Temperature change,230,Ukraine,7271,Temperature change,7001,January,2019,2019,?C,1.742,Fc,Calculated data
ET,Temperature change,230,Ukraine,7271,Temperature change,7001,January,2020,2020,?C,5.619,Fc,Calculated data
ET,Temperature change,225,United Arab Emirates,7271,Temperature change,7001,January,2019,2019,?C,1.744,Fc,Calculated data
ET,Temperature change,225,United Arab Emirates,7271,Temperature change,7001,January,2020,2020,?C,-0.094,Fc,Calculated data
ET,Temperature change,229,United Kingdom of Great Britain and Northern Ireland,7271,Temperature change,7001,January,2019,2019,?C,0.917,Fc,Calculated data
ET,Temperature change,229,United Kingdom of Great Britain and Northern Ireland,7271,Temperature change,7001,January,2020,2020,?C,2.755,Fc,Calculated data
ET,Temperature change,215,United Republic of Tanzania,7271,Temperature change,7001,January,2019,2019,?C,1.521,Fc,Calculated data
ET,Temperature change,215,United Republic of Tanzania,7271,Temperature change,7001,January,2020,2020,?C,1.149,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2019,2019,?C,1.91,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7001,January,2020,2020,?C,1.965,Fc,Calculated data
ET,Temperature change,240,United States Virgin Islands,7271,Temperature change,7001,January,2019,2019,?C,0.628,Fc,Calculated data
ET,Temperature change,240,United States Virgin Islands,7271,Temperature change,7001,January,2020,2020,?C,1.186,Fc,Calculated data
ET,Temperature change,234,Uruguay,7271,Temperature change,7001,January,2019,2019,?C,0.6,Fc,Calculated data
ET,Temperature change,234,Uruguay,7271,Temperature change,7001,January,2020,2020,?C,0.32,Fc,Calculated data
ET,Temperature change,235,Uzbekistan,7271,Temperature change,7001,January,2019,2019,?C,5.395,Fc,Calculated data
ET,Temperature change,235,Uzbekistan,7271,Temperature change,7001,January,2020,2020,?C,3.482,Fc,Calculated data
ET,Temperature change,155,Vanuatu,7271,Temperature change,7001,January,2019,2019,?C,0.314,Fc,Calculated data
ET,Temperature change,155,Vanuatu,7271,Temperature change,7001,January,2020,2020,?C,0.564,Fc,Calculated data
ET,Temperature change,236,Venezuela (Bolivarian Republic of),7271,Temperature change,7001,January,2019,2019,?C,0.963,Fc,Calculated data
ET,Temperature change,236,Venezuela (Bolivarian Republic of),7271,Temperature change,7001,January,2020,2020,?C,1.28,Fc,Calculated data
ET,Temperature change,237,Viet Nam,7271,Temperature change,7001,January,2019,2019,?C,1.613,Fc,Calculated data
ET,Temperature change,237,Viet Nam,7271,Temperature change,7001,January,2020,2020,?C,2.777,Fc,Calculated data
ET,Temperature change,242,Wake Island,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,242,Wake Island,7271,Temperature change,7001,January,2020,2020,?C,0.78,Fc,Calculated data
ET,Temperature change,243,Wallis and Futuna Islands,7271,Temperature change,7001,January,2019,2019,?C,1.367,Fc,Calculated data
ET,Temperature change,243,Wallis and Futuna Islands,7271,Temperature change,7001,January,2020,2020,?C,0.756,Fc,Calculated data
ET,Temperature change,205,Western Sahara,7271,Temperature change,7001,January,2019,2019,?C,0.507,Fc,Calculated data
ET,Temperature change,205,Western Sahara,7271,Temperature change,7001,January,2020,2020,?C,0.696,Fc,Calculated data
ET,Temperature change,249,Yemen,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,249,Yemen,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,251,Zambia,7271,Temperature change,7001,January,2019,2019,?C,1.432,Fc,Calculated data
ET,Temperature change,251,Zambia,7271,Temperature change,7001,January,2020,2020,?C,1.691,Fc,Calculated data
ET,Temperature change,181,Zimbabwe,7271,Temperature change,7001,January,2019,2019,?C,0.9,Fc,Calculated data
ET,Temperature change,181,Zimbabwe,7271,Temperature change,7001,January,2020,2020,?C,1.321,Fc,Calculated data
